SOURCE,ISIN_NUMBER,SYMBOL,SERIES
BSE,INE117A01022,ABB,A
BSE,INE208C01025,AEGISLOG,A
BSE,INE885A01032,ARE&M,A
BSE,INE432A01017,AMBALALSA,X
BSE,INE714B01016,ANDHRAPET,X
BSE,INE436A01026,ANSALAPI,Z
BSE,INE096A01010,UTIQUE,X
BSE,INE957C01019,ARUNAHTEL,X
BSE,INE032A01023,BOMDYEING,A
BSE,INE363A01022,ASIANHOTNR,B
BSE,INE100A01010,ATUL,A
BSE,INE447A01015,ATVPR,X
BSE,INE193E01025,BAJAJELEC,A
BSE,INE306A01021,BAJAJHIND,A
BSE,INE451A01017,FORCEMOT,A
BSE,INE296A01032,BAJFINANCE,A
BSE,INE119A01028,BALRAMCHIN,A
BSE,INE213C01025,BANCOINDIA,A
BSE,INE055A01016,ABREL,A
BSE,INE459A01010,BANARISUG,B
BSE,INE373A01013,BASF,A
BSE,INE176A01028,BATAINDIA,A
BSE,INE258A01024,BEML,A
BSE,INE263A01024,BEL,A
BSE,INE922A01025,BEPL,B
BSE,INE819C01011,BIHSPONG,X
BSE,INE071A01013,BILVYAPAR,T
BSE,INE800A01015,BIRLACABLE,B
BSE,INE472A01039,BLUESTARCO,A
BSE,INE131C01011,DISAQ,B
BSE,INE418C01012,QUESTCAP,X
BSE,INE110A01019,BPL,B
BSE,INE959C01023,OAL,B
BSE,INE281A01026,CENTEXT,T
BSE,INE486A01021,CESC,A
BSE,INE085A01013,CHAMBLFERT,A
BSE,INE302A01020,EXIDEIND,A
BSE,INE059A01026,CIPLA,A
BSE,INE303A01010,DICIND,B
BSE,INE007A01025,CRISIL,A
BSE,INE067A01029,CGPOWER,A
BSE,INE016A01026,DABUR,A
BSE,INE495A01022,DALMIASUG,B
BSE,INE034A01011,ARVIND,A
BSE,INE257A01026,BHEL,A
BSE,INE094A01015,HINDPETRO,A
BSE,INE039A01010,IFCI,A
BSE,INE153A01019,MTNL,B
BSE,INE103A01014,MRPL,A
BSE,INE178A01016,CHENNPETRO,A
BSE,INE062A01020,SBIN,A
BSE,INE114A01011,SAIL,A
BSE,INE280A01028,TITAN,A
BSE,INE008A01015,IDBI,A
BSE,INE500A01029,DCW,A
BSE,INE041A01016,DHAMPURSUG,B
BSE,INE591D01014,DIAMINESQ,B
BSE,INE280B01018,ELANTAS,B
BSE,INE089A01031,DRREDDY,A
BSE,INE126A01031,EIDPARRY,A
BSE,INE199A01012,PGHL,A
BSE,INE086A01029,ELECTCAST,A
BSE,INE284A01012,ESABINDIA,A
BSE,INE255A01020,EPL,A
BSE,INE778B01029,ESTER,B
BSE,INE512A01016,FGP,X
BSE,INE160F01013,PHCAP,XT
BSE,INE235A01022,FINCABLES,A
BSE,INE515A01019,COCKERILL,B
BSE,INE516A01017,UFLEX,B
BSE,INE519A01011,FOSECOIND,B
BSE,INE973A01010,GOLDENTOBC,Z
BSE,INE388A01029,GANESHBE,B
BSE,INE085D01033,METROGLOBL,X
BSE,INE043A01012,GTL,B
BSE,INE260B01028,GODFRYPHLP,A
BSE,INE233A01035,GODREJIND,A
BSE,INE531A01024,KANSAINER,A
BSE,INE300A01016,GOODRICKE,X
BSE,INE533A01012,GOODYEAR,B
BSE,INE537A01013,GTNINDS,X
BSE,INE539A01019,GHCL,A
BSE,INE538A01037,GFLLIMITED,B
BSE,INE236A01020,HCL-INSYS,B
BSE,INE040A01034,HDFCBANK,A
BSE,INE158A01026,HEROMOTOCO,A
