SOURCE,SYMBOL,SERIES,ISIN_NUMBER
NSE,20MICRONS,EQ,INE144J01027
NSE,21STCENMGM,EQ,INE253B01015
NSE,360ONE,EQ,INE466L01038
NSE,3IINFOLTD,EQ,INE748C01038
NSE,3MINDIA,EQ,INE470A01017
NSE,3PLAND,EQ,INE105C01023
NSE,5PAISA,EQ,INE618L01018
NSE,63MOONS,EQ,INE111B01023
NSE,A2ZINFRA,EQ,INE619I01012
NSE,AAATECH,EQ,INE0D0U01013
NSE,AADHARHFC,EQ,INE883F01010
NSE,AAKASH,EQ,INE087Z01024
NSE,AAREYDRUGS,EQ,INE198H01019
NSE,AARON,EQ,INE721Z01010
NSE,AARTECH,EQ,INE01C001026
NSE,AARTIDRUGS,EQ,INE767A01016
NSE,AARTIIND,EQ,INE769A01020
NSE,AARTIPHARM,EQ,INE0LRU01027
NSE,AARTISURF,EQ,INE09EO01013
NSE,AARVI,EQ,INE754X01016
NSE,AAVAS,EQ,INE216P01012
NSE,ABAN,BE,INE421A01028
NSE,ABB,EQ,INE117A01022
NSE,ABBOTINDIA,EQ,INE358A01014
NSE,ABCAPITAL,EQ,INE674K01013
NSE,ABCOTS,EQ,INE08PH01015
NSE,ABDL,EQ,INE552Z01027
NSE,ABFRL,EQ,INE647O01011
NSE,ABINFRA,EQ,INE00YB01025
NSE,ABLBL,EQ,INE14LE01019
NSE,ABMINTLLTD,EQ,INE251C01025
NSE,ABREL,EQ,INE055A01016
NSE,ABSLAMC,EQ,INE404A01024
NSE,ACC,EQ,INE012A01025
NSE,ACCELYA,EQ,INE793A01012
NSE,ACCURACY,EQ,INE648Z01023
NSE,ACE,EQ,INE731H01025
NSE,ACEINTEG,EQ,INE543V01017
NSE,ACI,EQ,INE128X01021
NSE,ACL,EQ,INE666E01020
NSE,ACMESOLAR,EQ,INE622W01025
NSE,ACUTAAS,EQ,INE00FF01025
NSE,ADANIENSOL,EQ,INE931S01010
NSE,ADANIENT,EQ,INE423A01024
NSE,ADANIGREEN,EQ,INE364U01010
NSE,ADANIPORTS,EQ,INE742F01042
NSE,ADANIPOWER,EQ,INE814H01029
NSE,ADFFOODS,EQ,INE982B01027
NSE,ADL,EQ,INE0CHO01012
NSE,ADOR,EQ,INE045A01017
NSE,ADROITINFO,EQ,INE737B01033
NSE,ADSL,EQ,INE102I01027
NSE,ADVANCE,EQ,INE1B0W01010
NSE,ADVANIHOTR,EQ,INE199C01026
NSE,ADVENTHTL,EQ,INE28GN01010
NSE,ADVENZYMES,EQ,INE837H01020
NSE,AEGISLOG,EQ,INE208C01025
NSE,AEGISVOPAK,EQ,INE0INX01018
NSE,AEQUS,EQ,INE947N01017
NSE,AEROENTER,EQ,INE065D01027
NSE,AEROFLEX,EQ,INE024001021
NSE,AERONEU,EQ,INE035801013
NSE,AETHER,EQ,INE0BWX01014
NSE,AFCONS,EQ,INE101I01011
NSE,AFFLE,EQ,INE00WC01027
NSE,AFFORDABLE,EQ,INE692Z01013
NSE,AFIL,EQ,INE916Y01027
NSE,AFSL,EQ,INE00ZE01026
NSE,AGARIND,EQ,INE204E01012
NSE,AGARWALEYE,EQ,INE943P01029
NSE,AGI,EQ,INE415A01038
NSE,AGIIL,EQ,INE976R01033
NSE,AGRITECH,BE,INE449G01018
NSE,AGROPHOS,EQ,INE740V01019
NSE,AGSTRA,BZ,INE583L01014
NSE,AHCL,EQ,INE0Y8W01017
NSE,AHLADA,EQ,INE00PV01013
NSE,AHLEAST,EQ,INE926K01017
NSE,AHLUCONT,EQ,INE758C01029
NSE,AIAENG,EQ,INE212H01026
NSE,AIIL,EQ,INE206F01022
NSE,AIRAN,EQ,INE645W01026
NSE,AIROLAM,EQ,INE801L01010
NSE,AJANTPHARM,EQ,INE031B01049
NSE,AJAXENGG,EQ,INE274Y01021
NSE,AJMERA,EQ,INE298G01035
NSE,AJOONI,EQ,INE820Y01021
NSE,AKASH,EQ,INE737W01013
NSE,AKG,EQ,INE00Y801016
NSE,AKI,EQ,INE642Z01026
NSE,AKSHAR,EQ,INE256Z01025
NSE,AKSHARCHEM,EQ,INE542B01011
NSE,AKSHOPTFBR,EQ,INE523B01011
NSE,AKUMS,EQ,INE09XN01023
NSE,AKZOINDIA,EQ,INE133A01011
NSE,ALANKIT,EQ,INE914E01040
NSE,ALBERTDAVD,EQ,INE155C01010
NSE,ALEMBICLTD,EQ,INE426A01027
NSE,ALGOQUANT,EQ,INE598D01035
NSE,ALICON,EQ,INE062D01024
NSE,ALIVUS,EQ,INE03Q201024
NSE,ALKALI,EQ,INE773I01017
NSE,ALKEM,EQ,INE540L01014
NSE,ALKYLAMINE,EQ,INE150B01039
NSE,ALLCARGO,EQ,INE418H01029
NSE,ALLDIGI,EQ,INE835G01018
NSE,ALLTIME,EQ,INE0GV601021
NSE,ALMONDZ,EQ,INE326B01035
NSE,ALOKINDS,EQ,INE270A01029
NSE,ALPA,EQ,INE385I01010
NSE,ALPHAGEO,EQ,INE137C01018
NSE,AMANTA,EQ,INE084K01015
NSE,AMBER,EQ,INE371P01015
NSE,AMBICAAGAR,EQ,INE792B01012
NSE,AMBIKCO,EQ,INE540G01014
NSE,AMBUJACEM,EQ,INE079A01024
NSE,AMDIND,EQ,INE005I01014
NSE,AMJLAND,EQ,INE606A01024
NSE,AMNPLST,EQ,INE275D01022
NSE,AMRUTANJAN,EQ,INE098F01031
NSE,ANANDRATHI,EQ,INE463V01026
NSE,ANANTRAJ,EQ,INE242C01024
NSE,ANDHRAPAP,EQ,INE435A01051
NSE,ANDHRSUGAR,EQ,INE715B01021
NSE,ANGELONE,EQ,INE732I01013
NSE,ANIKINDS,EQ,INE087B01017
NSE,ANKITMETAL,BZ,INE106I01010
NSE,ANMOL,EQ,INE02AR01019
NSE,ANSALAPI,BZ,INE436A01026
NSE,ANTELOPUS,EQ,INE818A01017
NSE,ANTGRAPHIC,EQ,INE414B01021
NSE,ANTHEM,EQ,INE0CZ201020
NSE,ANUHPHR,EQ,INE489G01022
NSE,ANUP,EQ,INE294Z01018
NSE,ANURAS,EQ,INE930P01018
NSE,APARINDS,EQ,INE372A01015
NSE,APCL,EQ,INE071F01012
NSE,APCOTEXIND,EQ,INE116A01032
NSE,APEX,EQ,INE346W01013
NSE,APLAPOLLO,EQ,INE702C01027
NSE,APLLTD,EQ,INE901L01018
NSE,APOLLO,EQ,INE713T01028
NSE,APOLLOHOSP,EQ,INE437A01024
NSE,APOLLOPIPE,EQ,INE126J01016
NSE,APOLLOTYRE,EQ,INE438A01022
NSE,APOLSINHOT,EQ,INE451F01024
NSE,APTECHT,EQ,INE266F01018
NSE,APTUS,EQ,INE852O01025
NSE,ARCHIDPLY,EQ,INE877I01016
NSE,ARCHIES,EQ,INE731A01020
NSE,ARE&M,EQ,INE885A01032
NSE,ARENTERP,EQ,INE610C01014
NSE,ARFIN,EQ,INE784R01023
NSE,ARIES,EQ,INE298I01015
NSE,ARIHANTCAP,EQ,INE420B01036
NSE,ARIHANTSUP,EQ,INE643K01018
NSE,ARISINFRA,EQ,INE0H9P01028
NSE,ARKADE,EQ,INE0QRL01017
NSE,ARMANFIN,EQ,INE109C01017
NSE,AROGRANITE,EQ,INE210C01013
NSE,ARROWGREEN,EQ,INE570D01018
NSE,ARSHIYA,BZ,INE968D01022
NSE,ARSSBL,EQ,INE549H01021
NSE,ARTEMISMED,EQ,INE025R01021
NSE,ARTNIRMAN,EQ,INE738V01013
NSE,ARVEE,BE,INE006Z01016
NSE,ARVIND,EQ,INE034A01011
NSE,ARVINDFASN,EQ,INE955V01021
NSE,ARVSMART,EQ,INE034S01021
NSE,ASAHIINDIA,EQ,INE439A01020
NSE,ASAHISONG,EQ,INE228I01012
