symbol,listed_on,long_name,short_name,sector,sector_key,sector_disp,industry,industry_key,industry_disp
20MICRONS,NSE,20 Microns Limited,20 MICRONS LTD,Basic Materials,basic-materials,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining
21STCENMGM,NSE,Twentyfirst Century Management Services Limited,21ST CENTURY MGMT SERVICE,Financial Services,financial-services,Financial Services,Capital Markets,capital-markets,Capital Markets
360ONE,NSE,360 One Wam Limited,360 ONE WAM LIMITED,Financial Services,financial-services,Financial Services,Asset Management,asset-management,Asset Management
3BBLACKBIO,BSE,3B BlackBio Dx Ltd,3B BlackBio Dx Limited,Healthcare,healthcare,Healthcare,Biotechnology,biotechnology,Biotechnology
3IINFOLTD,NSE,3i Infotech Limited,3I INFOTECH LIMITED,Technology,technology,Technology,Information Technology Services,information-technology-services,Information Technology Services
3MINDIA,NSE,3M India Limited,3M INDIA LIMITED,Industrials,industrials,Industrials,Conglomerates,conglomerates,Conglomerates
3PLAND,NSE,3P Land Holdings Ltd,3P LAND HOLDINGS LIMITED,,,,,,
5PAISA,NSE,5paisa Capital Limited,5PAISA CAPITAL LIMITED,Financial Services,financial-services,Financial Services,Capital Markets,capital-markets,Capital Markets
63MOONS,NSE,63 moons technologies limited,63 MOONS TECHNOLOGIES LTD,Technology,technology,Technology,Software - Application,software-application,Software - Application
A2ZINFRA,NSE,A2Z Infra Engineering Limited,A2Z INFRA ENGINEERING LTD,Industrials,industrials,Industrials,Engineering & Construction,engineering-construction,Engineering & Construction
AAATECH,NSE,AAA Technologies Limited,AAA TECHNOLOGIES LIMITED,Technology,technology,Technology,Information Technology Services,information-technology-services,Information Technology Services
AADHARHFC,NSE,,AADHAR HOUSING FINANCE L,Financial Services,financial-services,Financial Services,Mortgage Finance,mortgage-finance,Mortgage Finance
AAKASH,NSE,Aakash Exploration Services Limited,AAKASH EXPLORATION SER L,Energy,energy,Energy,Oil & Gas Equipment & Services,oil-gas-equipment-services,Oil & Gas Equipment & Services
AAREYDRUGS,NSE,Aarey Drugs & Pharmaceuticals Limited,AAREY DRUGS & PHARM LTD,Healthcare,healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic
AARON,NSE,Aaron Industries Limited,AARON INDUSTRIES LIMITED,Industrials,industrials,Industrials,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery
AARTECH,NSE,Aartech Solonics Limited,AARTECH SOLONICS LIMITED,Industrials,industrials,Industrials,Electrical Equipment & Parts,electrical-equipment-parts,Electrical Equipment & Parts
AARTIDRUGS,NSE,Aarti Drugs Limited,AARTI DRUGS LTD.,Healthcare,healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic
AARTIIND,NSE,Aarti Industries Limited,AARTI INDUSTRIES LTD,Basic Materials,basic-materials,Basic Materials,Specialty Chemicals,specialty-chemicals,Specialty Chemicals
AARTIPHARM,NSE,Aarti Pharmalabs Limited,AARTI PHARMALABS LIMITED,Healthcare,healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic
AARTISURF,NSE,Aarti Surfactants Limited,AARTI SURFACTANTS LIMITED,Basic Materials,basic-materials,Basic Materials,Specialty Chemicals,specialty-chemicals,Specialty Chemicals
AARVI,NSE,Aarvi Encon Limited,AARVI ENCON LIMITED,Industrials,industrials,Industrials,Staffing & Employment Services,staffing-employment-services,Staffing & Employment Services
AAVAS,NSE,Aavas Financiers Limited,AAVAS FINANCIERS LIMITED,Financial Services,financial-services,Financial Services,Mortgage Finance,mortgage-finance,Mortgage Finance
