,SOURCE,SYMBOL,SERIES,ISIN_NUMBER
0,NSE,20MICRONS,EQ,INE144J01027
1,NSE,PIRAMALFIN,EQ,INE202B01038
2,NSE,PIONEEREMB,EQ,INE156C01018
3,NSE,PINELABS,EQ,INE15B701018
4,NSE,PILITA,EQ,INE600A01035
5,NSE,PILANIINVS,EQ,INE417C01014
6,NSE,PIIND,EQ,INE603J01030
7,NSE,PIGL,EQ,INE557Z01018
8,NSE,PIDILITIND,EQ,INE318A01026
9,NSE,PICCADIL,EQ,INE546C01010
10,NSE,PHOENIXLTD,EQ,INE211B01039
11,NSE,PGIL,EQ,INE940H01022
12,NSE,PGHL,EQ,INE199A01012
13,NSE,PGHH,EQ,INE179A01014
14,NSE,PGEL,EQ,INE457L01029
15,NSE,PITTIENG,EQ,INE450D01021
16,NSE,PFS,EQ,INE560K01014
17,NSE,PFIZER,EQ,INE182A01018
18,NSE,PFC,EQ,INE134E01011
19,NSE,PETRONET,EQ,INE347G01014
20,NSE,PERSISTENT,EQ,INE262H01021
21,NSE,PENINLAND,EQ,INE138A01028
22,NSE,PENIND,EQ,INE932A01024
23,NSE,PEARLPOLY,EQ,INE844A01013
24,NSE,PDSL,EQ,INE111Q01021
25,NSE,PDMJEPAPER,EQ,INE865T01018
26,NSE,PCJEWELLER,EQ,INE785M01021
27,NSE,PCBL,EQ,INE602A01031
28,NSE,PAYTM,EQ,INE982J01020
29,NSE,PAVNAIND,EQ,INE07S101038
30,NSE,PAUSHAKLTD,EQ,INE111F01024
31,NSE,PFOCUS,EQ,INE367G01038
32,NSE,PATINTLOG,EQ,INE529D01014
33,NSE,PIXTRANS,EQ,INE751B01018
34,NSE,PLASTIBLEN,EQ,INE083C01022
35,NSE,PRECAM,EQ,INE484I01029
36,NSE,PRAXIS,EQ,INE546Y01022
37,NSE,PRAKASHSTL,BE,INE696K01024
38,NSE,PRAKASH,EQ,INE603A01013
39,NSE,PRAJIND,EQ,INE074A01025
40,NSE,PRAENG,BE,INE505C01016
41,NSE,PRABHA,EQ,INE0I0M01023
42,NSE,PPLPHARMA,EQ,INE0DK501011
43,NSE,PPL,EQ,INE050001010
44,NSE,PPAP,EQ,INE095I01015
45,NSE,POWERMECH,EQ,INE211R01019
46,NSE,POWERINDIA,EQ,INE07Y701011
47,NSE,POWERGRID,EQ,INE752E01010
48,NSE,POONAWALLA,EQ,INE511C01022
49,NSE,PKTEA,EQ,INE431F01018
50,NSE,PONNIERODE,EQ,INE838E01017
51,NSE,POLYMED,EQ,INE205C01021
52,NSE,POLYCAB,EQ,INE455K01017
53,NSE,POLICYBZR,EQ,INE417T01026
54,NSE,POKARNA,EQ,INE637C01025
55,NSE,PODDARMENT,EQ,INE371C01013
56,NSE,POCL,EQ,INE063E01053
57,NSE,PNGJL,EQ,INE953R01016
58,NSE,PNCINFRA,EQ,INE195J01029
59,NSE,PNC,EQ,INE392B01011
60,NSE,PNBHOUSING,EQ,INE572E01012
61,NSE,PNBGILTS,EQ,INE859A01011
62,NSE,PNB,EQ,INE160A01022
63,NSE,PLAZACABLE,EQ,INE0INJ01017
64,NSE,PLATIND,EQ,INE0PT501018
65,NSE,POLYPLEX,EQ,INE633B01018
66,NSE,PATELRMART,EQ,INE0R8B01010
67,NSE,PATELENG,EQ,INE244B01030
68,NSE,PATANJALI,EQ,INE619A01035
69,NSE,ORIENTCEM,EQ,INE876N01018
70,NSE,ORIENTBELL,EQ,INE607D01018
71,NSE,ORIENTALTL,EQ,INE998H01012
72,NSE,ORICONENT,BE,INE730A01022
73,NSE,ORCHPHARMA,EQ,INE191A01027
74,NSE,ORCHASP,EQ,INE215B01022
75,NSE,ORBTEXP,EQ,INE231G01010
76,NSE,OPTIEMUS,EQ,INE350C01017
77,NSE,ONWARDTEC,EQ,INE229A01017
78,NSE,ONMOBILE,EQ,INE809I01019
79,NSE,ONGC,EQ,INE213A01029
80,NSE,ONESOURCE,EQ,INE013P01021
81,NSE,ONEPOINT,EQ,INE840Y01029
82,NSE,ONELIFECAP,BE,INE912L01015
83,NSE,ORIENTCER,EQ,INE569C01020
84,NSE,OMINFRAL,EQ,INE239D01028
85,NSE,OMAXE,EQ,INE800H01010
86,NSE,OMAXAUTO,EQ,INE090B01011
87,NSE,OLECTRA,EQ,INE260D01016
88,NSE,OLAELEC,EQ,INE0LXG01040
89,NSE,OILCOUNTUB,EQ,INE591A01010
90,NSE,OIL,EQ,INE274J01014
91,NSE,OFSS,EQ,INE881D01027
92,NSE,ODIGMA,EQ,INE054301028
93,NSE,OCCLLTD,EQ,INE0PK601023
94,NSE,OBEROIRLTY,EQ,INE093I01010
95,NSE,OBCL,EQ,INE426Z01016
